temp celc,height above bedrock
-27.122305,653.8162322
-27.125457,632.8214783
-27.166528,612.3236328
-27.196543,588.8840484
-27.219247,567.0177607
-27.187269,544.646881
-27.108098,517.204536
-26.912847,497.628582
-26.66547,477.425105
-26.47337,459.738662
-26.255777,441.8382
-26.040971,427.367499
-25.810716,409.508786
-25.562694,393.889493
-25.315124,376.673113
-25.118696,362.4928
-24.899722,349.546289
-24.56165,326.152572
-24.091926,296.592811
-23.786664,280.303877
-23.463086,262.436324
-22.763285,235.259141
-23.200051,255.659327
-22.535756,224.379919
-22.311679,215.292455
-22.126061,201.364993
-21.744961,187.563748
-21.486295,171.721134
-21.085875,159.220572
-20.634518,141.268919
-20.363842,126.882363
-20.058582,113.249547
-19.620603,97.028466
-19.461201,84.090332
-18.982714,68.827798
-18.656823,54.588658
-18.340919,37.306508
-17.949175,22.680246
-17.780735,13.589172
-17.595351,3.858595
-17.412937,0.1612
